filename,CA1,CA1.1,CA1.2,CA1.3,CA1.4,CA1.5,CA1.6,CA1.7,CA2,ORG1,ORG2,ORG2.2,ORG2.3,ORG2.4,ORG2.5,ORG3,VOC1,VOC2,VOC3,GR1,GR2,GR3,UNIQ_WORDS,OR_ERR,CLQ_WORDS,CLC_ERRORS,prop_a1,prop_a2,prop_b1,prop_b2,prop_c1,prop_c2
952.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0.7543859649122807,0.45454545454545453,0.0,0.30739299610894943,0.24242424242424243,0.18181818181818182,0.19696969696969696,0.2878787878787879,0.09090909090909091,0.0
541.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7685185185185185,0.0,0.0,0.3348623853211009,0.26865671641791045,0.16417910447761194,0.19402985074626866,0.29850746268656714,0.07462686567164178,0.0
302.txt,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.7,0.0,0.0,0.16304347826086957,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.0,0.0
712.txt,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8648648648648649,0.0,0.0,0.3375,0.375,0.25,0.20833333333333334,0.16666666666666666,0.0,0.0
485.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.8529411764705882,0.0,0.0,0.2602739726027397,0.23076923076923078,0.38461538461538464,0.15384615384615385,0.19230769230769232,0.038461538461538464,0.0
40.txt,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7560975609756098,0.6,0.0,0.25263157894736843,0.375,0.2916666666666667,0.08333333333333333,0.25,0.0,0.0
474.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7727272727272727,0.6666666666666666,0.0,0.26495726495726496,0.37037037037037035,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.0,0.0
273.txt,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7027027027027027,0.6,0.0,0.19753086419753085,0.17391304347826086,0.391304347826087,0.2608695652173913,0.13043478260869565,0.043478260869565216,0.0
167.txt,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.8235294117647058,0.5,0.0,0.1794871794871795,0.18181818181818182,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0,0.0
805.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7373737373737373,0.0,0.0,0.33613445378151263,0.28125,0.125,0.265625,0.234375,0.09375,0.0
290.txt,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.7065217391304348,0.0,0.0,0.2523364485981308,0.21568627450980393,0.35294117647058826,0.17647058823529413,0.21568627450980393,0.0392156862745098,0.0
623.txt,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0.5,0,0,0,0,0.8461538461538461,0.25,0.0,0.27419354838709675,0.3,0.3,0.2,0.15,0.05,0.0
